Frequency (Hz)	Level (dB)
5813.964844	-68.792374
5835.498047	-75.822334
5857.031250	-86.326241
5878.564453	-84.940536
5900.097656	-87.540840
5921.630859	-90.172028
5943.164062	-89.544434
5964.697266	-85.565880
5986.230469	-83.952271
6007.763672	-78.855995
6029.296875	-76.126534
6050.830078	-76.663193
6072.363281	-74.892166
6093.896484	-81.489807
6115.429688	-87.996216
6136.962891	-83.694946
6158.496094	-81.826401
6180.029297	-85.393204
6201.562500	-90.615669
6223.095703	-92.801224
6244.628906	-98.842567
6266.162109	-98.178925
6287.695312	-91.521118
6309.228516	-89.369667
6330.761719	-92.504402
6352.294922	-93.583237
6373.828125	-91.583092
6395.361328	-88.797531
6416.894531	-94.234116
6438.427734	-86.648186
6459.960938	-84.872627
6481.494141	-86.530998
6503.027344	-86.811699
6524.560547	-86.884697
6546.093750	-86.997658
6567.626953	-85.728752
6589.160156	-82.957954
6610.693359	-78.395180
6632.226562	-82.000519
6653.759766	-90.058449
6675.292969	-92.363190
6696.826172	-86.812241
6718.359375	-88.088356
6739.892578	-86.566154
6761.425781	-86.467400
6782.958984	-94.250977
6804.492188	-88.633949
6826.025391	-86.792084
6847.558594	-86.999931
6869.091797	-87.379173
6890.625000	-90.971649
6912.158203	-93.694031
6933.691406	-94.189384
6955.224609	-93.898926
6976.757812	-94.543015
6998.291016	-88.938080
7019.824219	-88.392067
7041.357422	-93.615273
7062.890625	-97.947517
7084.423828	-98.071388
7105.957031	-95.938965
7127.490234	-95.456619
7149.023438	-97.134712
7170.556641	-91.968651
7192.089844	-85.978447
7213.623047	-81.275108
7235.156250	-83.051880
7256.689453	-90.160194
7278.222656	-94.715637
7299.755859	-97.712669
7321.289062	-96.774231
7342.822266	-97.701477
7364.355469	-98.226074
7385.888672	-96.145477
7407.421875	-91.734718
7428.955078	-92.749367
7450.488281	-98.652451
7472.021484	-97.529297
7493.554688	-99.170525
7515.087891	-100.676163
7536.621094	-100.270287
7558.154297	-100.485420
7579.687500	-101.155609
7601.220703	-100.289963
7622.753906	-99.157776
7644.287109	-100.048744
7665.820312	-100.578468
7687.353516	-100.391579
7708.886719	-100.242844
7730.419922	-101.224869
7751.953125	-102.283638
7773.486328	-100.453438
7795.019531	-100.088203
7816.552734	-101.615761
7838.085938	-101.546730
7859.619141	-101.738083
7881.152344	-103.441635
7902.685547	-103.747543
7924.218750	-102.738884
7945.751953	-99.039223
7967.285156	-96.629601
7988.818359	-99.544426
8010.351562	-102.752983
8031.884766	-103.419601
8053.417969	-101.285797
8074.951172	-100.083595
8096.484375	-100.815567
8118.017578	-101.650558
8139.550781	-100.962936
8161.083984	-100.822021
8182.617188	-101.585663
8204.150391	-101.119553
8225.683594	-94.961662
8247.216797	-90.505722
8268.750000	-90.359673
8290.283203	-93.550659
