Frequency (Hz)	Level (dB)
5813.964844	-74.409126
5835.498047	-79.315475
5857.031250	-85.830063
5878.564453	-88.543571
5900.097656	-91.990623
5921.630859	-88.956741
5943.164062	-85.798058
5964.697266	-85.381790
5986.230469	-86.060020
6007.763672	-86.787750
6029.296875	-87.886749
6050.830078	-86.101379
6072.363281	-87.555939
6093.896484	-89.211151
6115.429688	-87.544220
6136.962891	-86.921883
6158.496094	-89.960617
6180.029297	-91.344315
6201.562500	-91.990974
6223.095703	-92.394081
6244.628906	-92.150208
6266.162109	-89.646606
6287.695312	-88.185783
6309.228516	-87.597336
6330.761719	-85.380058
6352.294922	-84.224510
6373.828125	-84.846306
6395.361328	-81.888023
6416.894531	-77.377739
6438.427734	-77.069809
6459.960938	-80.263100
6481.494141	-77.097076
6503.027344	-73.563240
6524.560547	-73.403603
6546.093750	-75.269226
6567.626953	-84.536880
6589.160156	-79.728119
6610.693359	-77.760948
6632.226562	-81.273811
6653.759766	-90.839569
6675.292969	-89.069237
6696.826172	-88.572525
6718.359375	-89.133911
6739.892578	-83.175697
6761.425781	-85.269737
6782.958984	-92.990158
6804.492188	-91.882339
6826.025391	-94.398903
6847.558594	-95.488914
6869.091797	-93.478645
6890.625000	-89.956284
6912.158203	-89.769318
6933.691406	-94.788887
6955.224609	-97.193176
6976.757812	-95.416565
6998.291016	-94.902672
7019.824219	-94.293770
7041.357422	-95.261658
7062.890625	-95.532097
7084.423828	-94.548698
7105.957031	-94.137100
7127.490234	-93.936691
7149.023438	-93.993477
7170.556641	-90.806335
7192.089844	-93.129547
7213.623047	-96.470207
7235.156250	-97.637314
7256.689453	-95.211472
7278.222656	-94.422691
7299.755859	-94.743454
7321.289062	-95.256599
7342.822266	-93.839874
7364.355469	-97.074539
7385.888672	-96.102646
7407.421875	-96.366608
7428.955078	-95.535980
7450.488281	-95.655487
7472.021484	-95.853661
7493.554688	-95.971291
7515.087891	-97.679565
7536.621094	-95.915932
7558.154297	-94.693390
7579.687500	-95.455643
7601.220703	-95.399994
7622.753906	-94.613991
7644.287109	-93.145020
7665.820312	-91.320839
7687.353516	-91.988213
7708.886719	-89.622154
7730.419922	-90.845108
7751.953125	-98.789047
7773.486328	-100.157738
7795.019531	-102.082008
7816.552734	-101.507614
7838.085938	-99.880379
7859.619141	-100.114349
7881.152344	-102.143600
7902.685547	-102.794785
7924.218750	-102.742119
7945.751953	-102.583801
7967.285156	-103.270470
7988.818359	-101.850868
8010.351562	-101.313972
8031.884766	-101.253456
8053.417969	-100.601021
8074.951172	-99.899078
8096.484375	-98.380035
8118.017578	-98.164436
8139.550781	-98.237488
8161.083984	-98.930069
8182.617188	-100.287308
8204.150391	-99.880836
8225.683594	-96.804535
8247.216797	-96.755135
8268.750000	-99.328331
8290.283203	-103.426826
8311.816406	-104.808594
8333.349609	-105.724083
8354.882812	-104.198486
8376.416016	-104.008530
8397.949219	-105.347862
8419.482422	-106.234833
8441.015625	-107.054634
8462.548828	-107.891418
8484.082031	-107.454147
8505.615234	-108.029755
8527.148438	-109.163116
8548.681641	-109.696930
8570.214844	-111.174988
8591.748047	-111.842735
8613.281250	-111.910835
8634.814453	-112.042755
8656.347656	-111.929161
8677.880859	-112.345169
8699.414062	-115.788216
8720.947266	-119.683990
8742.480469	-120.607391
8764.013672	-120.761993
8785.546875	-121.790314
8807.080078	-121.824036
8828.613281	-120.774994
8850.146484	-121.274078
8871.679688	-120.845238
8893.212891	-119.134979
8914.746094	-120.166740
8936.279297	-122.428833
8957.812500	-121.812706
8979.345703	-119.131714
9000.878906	-119.301788
9022.412109	-122.312660
9043.945312	-122.108803
9065.478516	-120.425056
9087.011719	-117.494812
9108.544922	-115.550072
9130.078125	-115.837875
9151.611328	-115.296425
9173.144531	-113.442772
9194.677734	-111.846825
9216.210938	-111.349762
9237.744141	-111.412224
9259.277344	-110.201927
9280.810547	-107.489738
9302.343750	-107.201157
9323.876953	-109.182831
9345.410156	-109.448296
9366.943359	-108.129532
9388.476562	-108.252907
9410.009766	-107.559952
9431.542969	-106.928940
9453.076172	-107.565613
9474.609375	-106.914703
9496.142578	-106.297050
9517.675781	-106.499725
9539.208984	-105.533470
9560.742188	-105.890121
9582.275391	-105.175827
9603.808594	-105.243996
9625.341797	-104.839417
9646.875000	-105.480484
9668.408203	-103.003624
9689.941406	-103.148247
9711.474609	-105.497643
9733.007812	-104.398933
9754.541016	-102.894859
9776.074219	-101.841743
9797.607422	-102.766739
9819.140625	-103.836189
9840.673828	-103.748810
9862.207031	-103.817390
9883.740234	-104.096321
9905.273438	-102.853233
9926.806641	-103.440910
9948.339844	-103.272209
9969.873047	-101.452400
9991.406250	-101.458321
10012.939453	-100.144241
10034.472656	-101.983826
10056.005859	-102.687584
10077.539062	-101.975105
10099.072266	-101.805542
10120.605469	-100.974525
10142.138672	-100.087112
10163.671875	-100.740173
10185.205078	-102.757484
10206.738281	-103.082405
10228.271484	-101.603455
10249.804688	-101.282669
10271.337891	-102.218269
10292.871094	-102.434410
10314.404297	-98.913284
10335.937500	-98.891006
10357.470703	-101.564636
10379.003906	-101.859818
10400.537109	-100.936089
10422.070312	-102.312279
10443.603516	-102.113785
10465.136719	-101.616806
10486.669922	-102.069679
10508.203125	-100.776558
10529.736328	-100.371155
10551.269531	-101.790764
10572.802734	-101.662895
10594.335938	-102.292389
10615.869141	-102.684746
10637.402344	-101.946411
10658.935547	-100.615128
10680.468750	-101.512810
10702.001953	-102.112953
10723.535156	-102.385544
10745.068359	-101.433952
10766.601562	-100.014099
10788.134766	-100.568756
10809.667969	-100.963486
10831.201172	-100.303314
10852.734375	-101.948296
10874.267578	-101.564583
10895.800781	-101.683327
10917.333984	-102.403893
10938.867188	-101.370872
10960.400391	-101.049255
10981.933594	-101.664017
11003.466797	-102.385704
11025.000000	-101.478554
11046.533203	-101.258110
11068.066406	-101.605026
11089.599609	-101.129005
11111.132812	-101.769432
11132.666016	-102.142570
11154.199219	-102.027283
11175.732422	-102.678947
11197.265625	-102.302963
11218.798828	-100.941887
11240.332031	-100.640266
11261.865234	-101.149994
11283.398438	-101.105659
11304.931641	-101.742287
11326.464844	-101.862839
11347.998047	-101.798836
11369.531250	-101.285538
11391.064453	-102.471695
11412.597656	-101.794296
11434.130859	-101.929962
11455.664062	-102.728928
11477.197266	-101.429710
11498.730469	-101.335854
11520.263672	-101.644615
11541.796875	-102.830284
11563.330078	-104.135941
11584.863281	-103.376755
11606.396484	-102.253342
11627.929688	-103.256233
11649.462891	-102.738174
11670.996094	-102.680519
11692.529297	-102.978661
11714.062500	-101.581543
11735.595703	-101.845039
11757.128906	-102.904015
11778.662109	-103.791954
11800.195312	-103.113396
11821.728516	-103.221001
11843.261719	-104.012589
11864.794922	-104.478973
11886.328125	-102.862915
11907.861328	-101.858131
11929.394531	-102.430107
11950.927734	-102.765877
11972.460938	-103.287056
11993.994141	-103.964539
12015.527344	-103.755501
12037.060547	-105.034439
12058.593750	-105.256165
12080.126953	-104.932823
12101.660156	-106.589012
12123.193359	-106.700592
12144.726562	-106.867020
12166.259766	-107.409676
12187.792969	-108.386932
12209.326172	-106.344788
12230.859375	-106.324425
12252.392578	-106.076233
12273.925781	-106.364182
12295.458984	-107.438118
12316.992188	-107.835869
12338.525391	-107.487770
12360.058594	-107.920143
12381.591797	-108.123894
12403.125000	-108.908394
12424.658203	-109.638206
12446.191406	-109.116753
12467.724609	-108.894348
12489.257812	-109.083679
12510.791016	-109.468666
12532.324219	-109.974045
12553.857422	-109.982033
12575.390625	-110.725151
12596.923828	-111.221893
12618.457031	-111.515388
12639.990234	-111.308983
12661.523438	-111.091042
12683.056641	-111.413696
12704.589844	-110.888222
12726.123047	-111.417862
12747.656250	-112.105026
12769.189453	-113.599007
12790.722656	-114.504898
12812.255859	-114.110596
12833.789062	-114.338783
12855.322266	-113.938347
12876.855469	-115.087700
12898.388672	-118.843117
12919.921875	-119.553864
12941.455078	-121.428352
12962.988281	-122.590210
12984.521484	-122.927711
13006.054688	-123.787712
13027.587891	-123.349609
13049.121094	-124.218590
13070.654297	-123.747528
13092.187500	-123.533653
13113.720703	-123.158714
13135.253906	-122.503502
13156.787109	-121.799477
13178.320312	-122.383423
13199.853516	-123.507576
13221.386719	-122.997025
13242.919922	-122.752586
13264.453125	-122.371628
13285.986328	-122.198441
13307.519531	-121.861229
13329.052734	-122.574997
13350.585938	-120.030746
13372.119141	-118.967110
13393.652344	-120.412834
13415.185547	-120.517502
13436.718750	-122.237282
13458.251953	-120.697586
13479.785156	-117.756889
